Network Name,Full Component Name,Label Name,
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_1
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_2
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_3
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_4
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_5
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_6
central visual  ,striate cortex,17Networks_LH_VisCent_Striate,17Networks_LH_VisCent_Striate_1
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_7
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_8
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_9
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_10
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_11
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_1
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_2
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_3
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_4
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_5
peripheral visual ,striate calcarine,17Networks_LH_VisPeri_StriCal,17Networks_LH_VisPeri_StriCal_1
peripheral visual ,striate calcarine,17Networks_LH_VisPeri_StriCal,17Networks_LH_VisPeri_StriCal_2
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_1
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_2
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_3
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_4
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_5
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_1
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_2
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_3
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_4
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_5
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_6
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_7
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_8
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_9
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_10
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_11
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_12
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_13
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_14
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_15
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_16
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_17
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_18
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_19
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_1
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_2
somatomotor B,insula,17Networks_LH_SomMotB_Ins,17Networks_LH_SomMotB_Ins_1
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_1
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_2
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_3
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_4
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_3
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_4
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_5
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_6
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_1
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_2
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_3
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_4
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_5
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_1
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_2
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_3
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_4
dorsal attention A,parietal occipital,17Networks_LH_DorsAttnA_ParOcc,17Networks_LH_DorsAttnA_ParOcc_1
dorsal attention A,parietal occipital,17Networks_LH_DorsAttnA_ParOcc,17Networks_LH_DorsAttnA_ParOcc_2
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_1
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_2
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_3
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_4
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_5
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_6
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_7
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_1
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_2
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_3
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_4
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_5
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_6
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_7
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_8
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_9
dorsal attention B,frontal eye fields,17Networks_LH_DorsAttnB_FEF,17Networks_LH_DorsAttnB_FEF_1
dorsal attention B,frontal eye fields,17Networks_LH_DorsAttnB_FEF,17Networks_LH_DorsAttnB_FEF_2
dorsal attention B,frontal eye fields,17Networks_LH_DorsAttnB_FEF,17Networks_LH_DorsAttnB_FEF_3
dorsal attention B,precentral ventral,17Networks_LH_DorsAttnB_PrCv,17Networks_LH_DorsAttnB_PrCv_1
salience / ventral attention A,parietal operculum,17Networks_LH_SalVentAttnA_ParOper,17Networks_LH_SalVentAttnA_ParOper_1
salience / ventral attention A,parietal operculum,17Networks_LH_SalVentAttnA_ParOper,17Networks_LH_SalVentAttnA_ParOper_2
salience / ventral attention A,parietal operculum,17Networks_LH_SalVentAttnA_ParOper,17Networks_LH_SalVentAttnA_ParOper_3
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_1
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_2
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_3
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_4
salience / ventral attention A,frontal operculum ,17Networks_LH_SalVentAttnA_FrOper,17Networks_LH_SalVentAttnA_FrOper_1
salience / ventral attention A,frontal operculum ,17Networks_LH_SalVentAttnA_FrOper,17Networks_LH_SalVentAttnA_FrOper_2
salience / ventral attention A,parietal medial,17Networks_LH_SalVentAttnA_ParMed,17Networks_LH_SalVentAttnA_ParMed_1
salience / ventral attention A,parietal medial,17Networks_LH_SalVentAttnA_ParMed,17Networks_LH_SalVentAttnA_ParMed_2
salience / ventral attention A,parietal medial,17Networks_LH_SalVentAttnA_ParMed,17Networks_LH_SalVentAttnA_ParMed_3
salience / ventral attention A,frontal medial,17Networks_LH_SalVentAttnA_FrMed,17Networks_LH_SalVentAttnA_FrMed_1
salience / ventral attention A,frontal medial,17Networks_LH_SalVentAttnA_FrMed,17Networks_LH_SalVentAttnA_FrMed_2
salience / ventral attention A,frontal medial,17Networks_LH_SalVentAttnA_FrMed,17Networks_LH_SalVentAttnA_FrMed_3
salience / ventral attention B,lateral prefrontal cortex,17Networks_LH_SalVentAttnB_PFCl,17Networks_LH_SalVentAttnB_PFCl_1
salience / ventral attention B,lateral prefrontal cortex,17Networks_LH_SalVentAttnB_PFCl,17Networks_LH_SalVentAttnB_PFCl_2
salience / ventral attention B,lateral prefrontal cortex,17Networks_LH_SalVentAttnB_PFCl,17Networks_LH_SalVentAttnB_PFCl_3
salience / ventral attention B,insula,17Networks_LH_SalVentAttnB_Ins,17Networks_LH_SalVentAttnB_Ins_1
salience / ventral attention B,insula,17Networks_LH_SalVentAttnB_Ins,17Networks_LH_SalVentAttnB_Ins_2
salience / ventral attention B,insula,17Networks_LH_SalVentAttnB_Ins,17Networks_LH_SalVentAttnB_Ins_3
salience / ventral attention B,orbital frontal cortex,17Networks_LH_SalVentAttnB_OFC,17Networks_LH_SalVentAttnB_OFC_1
salience / ventral attention B, medial posterior prefrontal cortex,17Networks_LH_SalVentAttnB_PFCmp,17Networks_LH_SalVentAttnB_PFCmp_1
limbic B,orbital frontal cortex,17Networks_LH_LimbicB_OFC,17Networks_LH_LimbicB_OFC_1
limbic B,orbital frontal cortex,17Networks_LH_LimbicB_OFC,17Networks_LH_LimbicB_OFC_2
limbic B,orbital frontal cortex,17Networks_LH_LimbicB_OFC,17Networks_LH_LimbicB_OFC_3
limbic B,orbital frontal cortex,17Networks_LH_LimbicB_OFC,17Networks_LH_LimbicB_OFC_4
limbic B,orbital frontal cortex,17Networks_LH_LimbicB_OFC,17Networks_LH_LimbicB_OFC_5
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_1
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_2
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_3
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_4
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_5
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_6
limbic A,temporal pole,17Networks_LH_LimbicA_TempPole,17Networks_LH_LimbicA_TempPole_7
control A,temporal,17Networks_LH_ContA_Temp,17Networks_LH_ContA_Temp_1
control A,intraparietal sulcus,17Networks_LH_ContA_IPS,17Networks_LH_ContA_IPS_1
control A,intraparietal sulcus,17Networks_LH_ContA_IPS,17Networks_LH_ContA_IPS_2
control A,intraparietal sulcus,17Networks_LH_ContA_IPS,17Networks_LH_ContA_IPS_3
control A,intraparietal sulcus,17Networks_LH_ContA_IPS,17Networks_LH_ContA_IPS_4
control A,intraparietal sulcus,17Networks_LH_ContA_IPS,17Networks_LH_ContA_IPS_5
control A,dorsal prefrontal cortex,17Networks_LH_ContA_PFCd,17Networks_LH_ContA_PFCd_1
control A,lateral ventral prefrontal cortex,17Networks_LH_ContA_PFClv,17Networks_LH_ContA_PFClv_1
control A,lateral ventral prefrontal cortex,17Networks_LH_ContA_PFClv,17Networks_LH_ContA_PFClv_2
control A,lateral prefrontal cortex,17Networks_LH_ContA_PFCl,17Networks_LH_ContA_PFCl_1
control A,lateral prefrontal cortex,17Networks_LH_ContA_PFCl,17Networks_LH_ContA_PFCl_2
control A,lateral prefrontal cortex,17Networks_LH_ContA_PFCl,17Networks_LH_ContA_PFCl_3
control A,mid-cingulate,17Networks_LH_ContA_Cingm,17Networks_LH_ContA_Cingm_1
control B,temporal,17Networks_LH_ContB_Temp,17Networks_LH_ContB_Temp_1
control B,temporal,17Networks_LH_ContB_Temp,17Networks_LH_ContB_Temp_2
control B,inferior parietal lobule,17Networks_LH_ContB_IPL,17Networks_LH_ContB_IPL_1
control B,inferior parietal lobule,17Networks_LH_ContB_IPL,17Networks_LH_ContB_IPL_2
control B,inferior parietal lobule,17Networks_LH_ContB_IPL,17Networks_LH_ContB_IPL_3
control B ,dorsal prefrontal cortex,17Networks_LH_ContB_PFCd,17Networks_LH_ContB_PFCd_1
control B,lateral ventral prefrontal cortex,17Networks_LH_ContB_PFClv,17Networks_LH_ContB_PFClv_1
control B,lateral ventral prefrontal cortex,17Networks_LH_ContB_PFClv,17Networks_LH_ContB_PFClv_2
control B,lateral ventral prefrontal cortex,17Networks_LH_ContB_PFClv,17Networks_LH_ContB_PFClv_3
control B ,medial posterior prefrontal cortex,17Networks_LH_ContB_PFCmp,17Networks_LH_ContB_PFCmp_1
control C,precuneus,17Networks_LH_ContC_pCun,17Networks_LH_ContC_pCun_1
control C,precuneus,17Networks_LH_ContC_pCun,17Networks_LH_ContC_pCun_2
control C,precuneus,17Networks_LH_ContC_pCun,17Networks_LH_ContC_pCun_3
control C,cingulate posterior,17Networks_LH_ContC_Cingp,17Networks_LH_ContC_Cingp_1
control C,cingulate posterior,17Networks_LH_ContC_Cingp,17Networks_LH_ContC_Cingp_2
default A,inferior parietal lobule,17Networks_LH_DefaultA_IPL,17Networks_LH_DefaultA_IPL_1
default A,inferior parietal lobule,17Networks_LH_DefaultA_IPL,17Networks_LH_DefaultA_IPL_2
default A,dorsal prefrontal cortex,17Networks_LH_DefaultA_PFCd,17Networks_LH_DefaultA_PFCd_1
default A,dorsal prefrontal cortex,17Networks_LH_DefaultA_PFCd,17Networks_LH_DefaultA_PFCd_2
default A,dorsal prefrontal cortex,17Networks_LH_DefaultA_PFCd,17Networks_LH_DefaultA_PFCd_3
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_1
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_2
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_3
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_4
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_5
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_6
default A,precuneus posterior cingulate cortex,17Networks_LH_DefaultA_pCunPCC,17Networks_LH_DefaultA_pCunPCC_7
default A,medial prefrontal cortex,17Networks_LH_DefaultA_PFCm,17Networks_LH_DefaultA_PFCm_1
default A,medial prefrontal cortex,17Networks_LH_DefaultA_PFCm,17Networks_LH_DefaultA_PFCm_2
default A,medial prefrontal cortex,17Networks_LH_DefaultA_PFCm,17Networks_LH_DefaultA_PFCm_3
default A,medial prefrontal cortex,17Networks_LH_DefaultA_PFCm,17Networks_LH_DefaultA_PFCm_4
default A,medial prefrontal cortex,17Networks_LH_DefaultA_PFCm,17Networks_LH_DefaultA_PFCm_5
default A,medial prefrontal cortex,17Networks_LH_DefaultA_PFCm,17Networks_LH_DefaultA_PFCm_6
default B,temporal,17Networks_LH_DefaultB_Temp,17Networks_LH_DefaultB_Temp_1
default B,temporal,17Networks_LH_DefaultB_Temp,17Networks_LH_DefaultB_Temp_2
default B,temporal,17Networks_LH_DefaultB_Temp,17Networks_LH_DefaultB_Temp_3
default B,temporal,17Networks_LH_DefaultB_Temp,17Networks_LH_DefaultB_Temp_4
default B,temporal,17Networks_LH_DefaultB_Temp,17Networks_LH_DefaultB_Temp_5
default B,temporal,17Networks_LH_DefaultB_Temp,17Networks_LH_DefaultB_Temp_6
default B,inferior parietal lobule,17Networks_LH_DefaultB_IPL,17Networks_LH_DefaultB_IPL_1
default B,inferior parietal lobule,17Networks_LH_DefaultB_IPL,17Networks_LH_DefaultB_IPL_2
default B,dorsal prefrontal cortex,17Networks_LH_DefaultB_PFCd,17Networks_LH_DefaultB_PFCd_1
default B,dorsal prefrontal cortex,17Networks_LH_DefaultB_PFCd,17Networks_LH_DefaultB_PFCd_2
default B,dorsal prefrontal cortex,17Networks_LH_DefaultB_PFCd,17Networks_LH_DefaultB_PFCd_3
default B,dorsal prefrontal cortex,17Networks_LH_DefaultB_PFCd,17Networks_LH_DefaultB_PFCd_4
default B,dorsal prefrontal cortex,17Networks_LH_DefaultB_PFCd,17Networks_LH_DefaultB_PFCd_5
default B,dorsal prefrontal cortex,17Networks_LH_DefaultB_PFCd,17Networks_LH_DefaultB_PFCd_6
default B,lateral prefrontal cortex,17Networks_LH_DefaultB_PFCl,17Networks_LH_DefaultB_PFCl_1
default B,lateral prefrontal cortex,17Networks_LH_DefaultB_PFCl,17Networks_LH_DefaultB_PFCl_2
default B,ventral prefrontal cortex,17Networks_LH_DefaultB_PFCv,17Networks_LH_DefaultB_PFCv_1
default B,ventral prefrontal cortex,17Networks_LH_DefaultB_PFCv,17Networks_LH_DefaultB_PFCv_2
default B,ventral prefrontal cortex,17Networks_LH_DefaultB_PFCv,17Networks_LH_DefaultB_PFCv_3
default B,ventral prefrontal cortex,17Networks_LH_DefaultB_PFCv,17Networks_LH_DefaultB_PFCv_4
default B,ventral prefrontal cortex,17Networks_LH_DefaultB_PFCv,17Networks_LH_DefaultB_PFCv_5
default C,inferior parietal lobule,17Networks_LH_DefaultC_IPL,17Networks_LH_DefaultC_IPL_1
default C,retrosplenial ,17Networks_LH_DefaultC_Rsp,17Networks_LH_DefaultC_Rsp_1
default C,retrosplenial ,17Networks_LH_DefaultC_Rsp,17Networks_LH_DefaultC_Rsp_2
default C,retrosplenial ,17Networks_LH_DefaultC_Rsp,17Networks_LH_DefaultC_Rsp_3
default C,parahippocampal cortex,17Networks_LH_DefaultC_PHC,17Networks_LH_DefaultC_PHC_1
default C,parahippocampal cortex,17Networks_LH_DefaultC_PHC,17Networks_LH_DefaultC_PHC_2
default C,parahippocampal cortex,17Networks_LH_DefaultC_PHC,17Networks_LH_DefaultC_PHC_3
temporal parietal,temporal parietal,17Networks_LH_TempPar,17Networks_LH_TempPar_1
temporal parietal,temporal parietal,17Networks_LH_TempPar,17Networks_LH_TempPar_2
temporal parietal,temporal parietal,17Networks_LH_TempPar,17Networks_LH_TempPar_3
temporal parietal,temporal parietal,17Networks_LH_TempPar,17Networks_LH_TempPar_4
temporal parietal,temporal parietal,17Networks_LH_TempPar,17Networks_LH_TempPar_5
temporal parietal,temporal parietal,17Networks_LH_TempPar,17Networks_LH_TempPar_6
